ID,Name,Email,Phone,JoinDate,Subscription,AmountPaid
d5bdccb9-20f6-47d8-8596-6c1718f1f855,Ellen Henderson,williamskevin@estrada.com,280-417-5392x727,2024-06-24,Basic,336.08
cd70eb93-a965-480e-93ce-9da77c89fea1,Anthony Klein,rothamanda@yahoo.com,(736)483-3013x38253,2023-12-04,Gold,
f9b26729-35b1-4f95-9368-fcb4b98a605b,Julia Nash,ericksonlynn@smith.biz,249.284.9587x921,2023-11-30,,
c327ad56-e490-4e19-837a-a810d3700c11,Diana Wright,wclark@hotmail.com,+1-019-281-3627,2023-12-31,,
626a98f8-71dd-4fdf-bc94-a3ec313f4d5c,Thomas Taylor,corey38@diaz.info,001-953-769-3752x1804,2024-01-09,,380.68
0ff7a3d0-eca1-4fcc-abd7-7df855e003a6,,anna78@stewart.com,001-438-163-8015x8362,2024-08-17,Gold,204.37
cec4b430-2a40-4a63-96b9-470f01f14c99,Joel Brown,iwilliams@gmail.com,(553)645-0783,2024-02-29,Premium,487.97
66281ba5-cb29-4283-a15a-230365935d70,James Gibson,charles91@yahoo.com,001-614-646-0586x869,2024-10-14,Basic,249.62
ed1c3f3c-e0bc-4798-916f-47f357b41d69,Dale Roberts,npowell@booth.com,268.662.3181x879,2025-04-19,Gold,452.53
89837cac-dbe2-4c84-84e5-c19c08478d1c,Paul Riley,mpatton@hotmail.com,(166)331-0810,2024-09-15,Premium,
bd46a413-73db-4fb8-84aa-d062aa75f296,Lisa Davis,nancyjohnson@gmail.com,603-722-9843x0004,2024-02-19,Premium,
2134c843-ca0a-4708-b383-08fcc1796927,Ashley Morgan,michael40@vincent.net,031.574.3861x0172,2024-12-08,Premium,154.31
a04b0426-c51d-430a-b49c-d2c530ba9006,Michael Spencer,melanie36@yahoo.com,3577661560,2023-10-04,Premium,23.86
8dc55fc2-6f1a-41f7-8ad4-daebfe9cd026,Dominique Dunn,oolson@mitchell.com,1325280074,2024-04-09,Premium,232.51
1eb61432-877a-44cc-a9d2-413d06cf955e,Monique Burns,george82@anderson-boyd.com,001-180-298-7342x1887,2024-06-18,Gold,241.6
b655776d-49b1-4514-8108-e71ad895960b,Erica Thomas,cochrandana@gmail.com,(229)610-3539x28298,2024-01-28,,81.96
58681cc2-3325-427f-aaa8-6628e46030c4,David Perkins,kimberlylandry@wolf.net,523.502.6982,2025-03-22,Gold,64.75
af03ffaa-3894-4cd4-9dda-929bb1fc87e4,Daniel Lopez,megan78@hotmail.com,250-675-8816x2305,2024-01-31,Gold,251.64
6e1a0dc8-8038-4918-afdf-e0f2f4851c1d,,markmendez@hendrix-johnson.org,001-668-563-9386x61948,2024-08-16,,
4935750f-2276-4d38-b467-6153dcba3425,Jill Davis,blackburnedward@murray.com,537.369.2424,2024-11-21,Premium,155.19
cbc42883-c0a8-415e-ac84-536149e7d5ea,Dennis Miller,garciapamela@carpenter.net,001-085-561-7198x3267,2024-02-06,Gold,
b8ffdb9b-5948-43a1-997d-fe085fefbe84,Christopher Smith,benjamin92@yahoo.com,629.534.5953x228,2024-06-03,,
22089a9b-a6ef-43c6-a08c-8b1aee851aa2,Jeremy Whitaker,nathan88@tran.net,+1-753-353-5049x55220,2024-08-19,Basic,
88626d59-372c-4373-8733-339d7f02d56a,Danielle Neal,krystal91@solis.biz,405-703-0671x37430,2023-12-02,Basic,
f489fafa-802a-4129-a5bf-202e1c6b557a,Miranda Boyle,dparker@schmitt.com,001-391-141-3455x2211,2025-04-17,,
d3ca2e8e-8e4b-4388-b46e-a81b5e64d8d4,Charlotte Booth,fpeterson@campbell-boyd.net,001-020-520-8332x794,2025-04-23,Premium,
3c0a82fd-d142-4397-9d01-91bcb086c970,Jennifer Gray,,(656)614-0484x083,2024-11-10,Gold,297.95
ebe965a7-5a1c-4f36-ac4a-211d2ed3a5ee,Andrea Mayo,qyoung@miller.com,001-067-871-2006x39251,2024-01-13,Premium,11.08
746b4c26-d894-4e46-b95e-9c3edc348517,Kelly Gibson,gonzalezdavid@yahoo.com,+1-862-898-2435x5106,2024-04-22,Basic,
15edd72f-5277-46f8-b15a-9162f8abc60c,Timothy Rodriguez,freid@gmail.com,(425)450-1036,2025-02-16,,427.13
55b92f7c-383e-45cc-89b8-05618bea471a,Dylan Smith,munozdominic@gmail.com,204-922-7463x44657,2024-09-24,Premium,146.7
8dbc6935-a5b5-4cee-aaf1-929f9f8dd50a,Michael Thompson,amy69@gmail.com,+1-120-300-1028x56355,2023-08-11,Basic,
89fa630f-00a9-4ceb-90bd-ccf034839f2d,Tracy Johnson,jessecaldwell@hernandez.biz,(277)492-6374x449,2024-08-30,Premium,65.51
32a1d73f-7343-4c29-9fdd-d2d2b2230160,Aimee Stuart,jennifer32@jacobson.com,795.650.0808x9724,2023-07-10,Premium,212.53
13400a15-8e7d-4817-9b3f-5cb5de3996ca,Heather Daugherty,christian75@torres-snow.com,441-343-9569x1379,2023-09-14,Premium,
18c6f103-0f57-459e-a5ca-cf5d63dbcd35,Steven Gonzales,rnewman@page.com,+1-209-863-8136x8568,2024-12-26,Gold,
db643171-aac5-4a80-9f54-02fa1c66d321,,catherine90@hotmail.com,+1-943-340-9418x199,2023-08-02,Gold,53.71
2994a111-31d4-46a3-91e6-c9ebb7c87d35,Patrick Foster,michealphillips@yahoo.com,(269)479-8343,2024-03-07,Premium,44.18
a5942994-a079-402f-9b10-7ce40d9cc477,Jacqueline Fuller,trevinomichael@baldwin.com,001-213-382-8694,2024-10-27,,393.33
e63c19b8-5b2a-4592-beba-b543ceec7aa2,Whitney Dawson,uhoward@patel.com,953.214.5623x978,2023-10-22,Basic,
1414f4f9-4eb4-4fba-bbeb-9aecfeb3e87a,Tony Gaines,simpsonjulie@knight.net,6847207743,2023-09-20,Premium,67.74
4e6741fd-2e49-4e7f-a3e2-6cdb61ec0fcd,Carl Dillon,stephensrebecca@frank.com,+1-343-743-7435,2025-04-08,Basic,266.77
fdef40be-7d24-4bc8-b51f-746f4d30528c,Donald Hood,coopercharles@yahoo.com,254-187-3250x80475,2024-10-31,Premium,388.41
d6213c2b-f81e-4561-abc9-811482888f9e,James Cunningham,sdavis@hotmail.com,+1-881-662-8152,2024-05-15,Basic,
0194a295-3cdc-4f3d-b121-4c3bdade47f7,Stephen Edwards,brownlisa@gallegos.com,001-569-373-4137x68299,2023-07-01,Gold,378.85
c97f40bf-5a6e-49cb-8545-79f0de458297,Denise Camacho,cprice@hotmail.com,+1-797-401-2910x74668,2025-03-03,Basic,
d6d06413-7bd1-43f9-898d-1b420ee77a00,Bailey Edwards,wellscarrie@frederick.com,069.916.7028x973,2025-01-28,Basic,400.95
05324102-d83a-4ccf-8cd5-4af547c4dfee,Lisa Jones,thomasacosta@sanchez-hughes.com,001-666-261-9410,2024-10-05,Basic,
78446164-4b4b-4078-aebe-694fd869957c,Patrick Martin,jacobacosta@gill.info,(025)846-3141x5549,2024-05-19,Basic,465.5
a245c5e6-471c-4250-87d6-36007f875690,Alyssa Livingston,gregoryevans@hotmail.com,358.041.6479,2023-06-27,Premium,443.4
bc21f89b-0e66-4caa-917b-13a11a36b394,Julie Allison,kimberly76@gmail.com,073-539-2172,2024-08-14,Premium,10.64
a3d4cb37-6ba3-473b-a536-79f412f87948,Kevin Andrews,antonioowens@hotmail.com,493-757-6783,2024-11-09,Premium,
122736f6-334b-40b9-a5be-9f44975dc615,Peter Smith,sydney04@barton.info,566-076-6049x8489,2025-05-10,,496.34
c46e0c0d-1b37-4c1f-b151-c557a8b7e921,Michael Knight,ymonroe@castillo.org,220.905.9527,2025-04-07,Gold,81.38
3208ddb7-9b31-4bb4-b20a-3002c482460d,John Phillips,tiffanylewis@walker-nguyen.com,(535)725-9851x1406,2023-09-29,Premium,171.97
6437bdf7-4319-4ced-a369-f0e17c4db5b1,Brian Phillips DVM,shortjenna@moss.com,057-933-0537,2024-01-25,Gold,
7099bf60-e9ed-43a7-abe3-c966815f8e88,Chad Daniels,fgood@gmail.com,(757)227-9166x6085,2024-06-25,Premium,47.58
bb69064b-135c-4d4d-b9f8-b43b0540492c,Dorothy Parker,mwebster@walker.info,+1-248-939-8108,2024-05-09,,
cf18d631-d8a4-4a7f-8b75-475d3c96f01c,Kristie Sanford,chelsey65@turner.net,001-701-135-9901,2024-05-19,,
290d42bd-8a47-42cb-a059-74ba0acd4dcf,Kayla Smith,smithcory@yahoo.com,+1-812-772-1357,2025-02-12,Gold,127.0
6543b40d-9a22-4b86-8bc6-6a32e31abb4d,Anthony Barr,qjacobs@jackson.info,922-337-8876x13137,2024-06-23,Gold,96.98
89915d5e-99f7-4319-9d9a-a15b9568d217,Ashlee Young,maria16@hotmail.com,(874)276-3667,2023-06-14,Gold,138.64
0c95e890-d4c1-45c8-85e2-dac39bc4158f,Mackenzie Shaw,olivia88@ruiz.org,+1-246-031-1017,2024-10-23,Basic,
a49bfc5d-0bdc-4cf0-8efa-787e17beb8ad,April Howard,robert39@gmail.com,6007346420,2025-03-23,Gold,356.4
6bd7067d-aed7-4fcf-b287-ec76d5123f24,Andrew George,williamsalan@fisher-adkins.com,019-675-0895x1231,2024-03-31,Gold,
68018ebb-b7cc-434a-b5bb-8e498fde10f3,Alan Waters,richardsonjason@hotmail.com,(414)378-0304x30670,2023-11-15,Basic,150.59
6e7af084-b67d-47ae-8f8e-dd6644bb257c,Jennifer Logan,jchase@yahoo.com,+1-704-525-5708x3268,2023-07-05,Gold,226.94
7ef85368-3ed7-4880-8d78-48527878dafe,Madison Cummings,tracy26@gmail.com,557-744-9559x33802,2024-05-30,Gold,426.46
4861dd67-fbaf-4685-8e3b-53258486993e,Jose Gibbs,jamielong@marsh.com,062.516.7555x032,2023-07-09,Gold,113.32
6887304b-e705-4d3c-a0f9-b91c5cbb292c,Jessica Young,justinsullivan@yahoo.com,(899)483-6675,2024-11-19,,35.62
8e60f270-0044-474c-b18e-ac1120a5934f,Jennifer Davis,nsimon@gmail.com,5648349844,2023-10-29,Premium,263.69
863e3bb3-afcf-4039-84fc-7961e5033cf4,Robert Huynh Jr.,williamsashley@yahoo.com,6880748142,2025-04-07,Premium,433.41
7053f667-56d1-4b8d-a9a4-882b77b6bd32,Alan George,christopher03@gmail.com,+1-927-098-6283x66963,2023-08-30,,174.79
55cbb419-005e-45a2-9b0e-de6ecad48bbe,Anne Zimmerman,harrisfelicia@yahoo.com,(751)873-2497,2025-03-27,,
82ddfdf3-847b-4b8d-9ebb-522bcc56db83,Richard Clark,jo03@alvarez.com,9440805633,2023-06-13,,26.78
04ec59b3-ca5d-4f42-afbd-8a25363ff128,Evelyn Edwards,marcus43@horton.com,001-138-513-8183,2023-12-05,Premium,296.56
fe3061bc-b60b-4ef4-ae2d-7ec08e236d9f,Maria Thomas,qnelson@yahoo.com,224.642.4374x664,2025-05-03,Gold,
5d280f3b-a718-40e8-a044-431cf4a7be8c,Robert Andersen,tjordan@yahoo.com,(458)639-3089,2024-06-01,Premium,
83e4bf5a-6198-4663-a073-c9ea29ec9ed5,Steven Burke,,915-471-5194x5154,2024-06-10,,148.07
f2789001-06a1-4938-a795-55ee85a1a562,Terry Garza,pmitchell@woods.com,088.161.8702x01738,2025-04-18,Premium,
37333cae-fd49-4fec-b333-d1105d9e42e9,Laura Larsen,gdouglas@gmail.com,(824)705-7069x361,2024-06-10,Basic,
77dbe09a-6d85-432f-8244-729e000d8ff6,Laura Johnston MD,jacob34@hayes.info,682-899-4203x42421,2024-09-22,Basic,482.03
01d53e43-2864-4881-abd0-633635baab69,,carolyn78@yahoo.com,796.920.4278x614,2023-10-22,Premium,
74c954b4-7db8-4de7-8a4a-ef6d9a4f43e7,Cathy Osborne,andrew51@castillo-patrick.com,388-804-4480,2023-09-22,Premium,
aabfb6c3-e294-4729-af3e-7741510833b9,Charles Johnson,reedjoseph@hotmail.com,001-124-494-5145x545,2023-10-30,,
f2789001-06a1-4938-a795-55ee85a1a562,Terry Garza,pmitchell@woods.com,088.161.8702x01738,2025-04-18,Premium,
0b312594-3b41-4f81-bc21-6d34aff7a8af,Vanessa Santos,,(827)629-9430x26393,2024-06-02,Basic,212.07
5d0c4c60-477a-435f-85dc-14849b18e81f,Collin Ramos,longlarry@yahoo.com,463.292.9808x349,2024-12-20,Basic,
553e5e2e-63b3-4e94-aa03-18c5ca70b83d,Vanessa Webster,,+1-402-203-0758x91977,2024-07-18,,
819eabe1-5fc3-455f-8610-6d3012bbf8ea,Blake Allen,william65@walker.biz,2739793681,2023-08-08,Premium,
b5a183a6-1c6c-46dd-a35d-14208bc8d2c9,Stephanie Wilson,deanna94@gmail.com,(559)444-8088x6229,2023-11-09,Premium,
ff9794fd-ea5a-4a21-ba7d-c7658caae36a,Mario Fernandez,rli@jennings-stone.com,+1-334-126-1692x56435,2023-10-06,Premium,297.58
cbcf8caa-0cd7-40c9-914d-ffb538ff747f,Joseph Morrison,kathleenkey@carpenter-boone.info,160.842.0901,2023-06-08,,253.88
a49bfc5d-0bdc-4cf0-8efa-787e17beb8ad,April Howard,robert39@gmail.com,6007346420,2025-03-23,Gold,356.4
97ad3f28-48d6-4adc-b5f6-a780090b94df,Jacob Ramos,garyjones@mccarthy.com,0500491519,2023-09-23,Gold,
3ec78063-95f3-4fb2-a691-ccaa507833bb,Darius Smith DDS,dyoung@allen-morales.biz,177.622.8571,2024-04-24,Gold,
9f9d4ffd-0466-43f3-9b80-404a9d907414,Melissa Mosley,todd81@thompson.com,087-671-0053x060,2024-02-01,Basic,
66281ba5-cb29-4283-a15a-230365935d70,James Gibson,charles91@yahoo.com,001-614-646-0586x869,2024-10-14,Basic,249.62
a245c5e6-471c-4250-87d6-36007f875690,Alyssa Livingston,gregoryevans@hotmail.com,358.041.6479,2023-06-27,Premium,443.4
1dcd73aa-87a2-425c-a51d-aae500940ee5,David Coffey,courtney68@fowler.com,001-477-466-1194,2023-10-19,Basic,
6199e4cf-8e45-4911-99e1-cd1f481feaeb,James Frazier,ahebert@yahoo.com,906.634.6273x558,2023-07-04,,228.82
a05cf81d-0661-4d5e-9e96-449ad2d0e192,Brett Hall,,001-572-094-5390x38239,2025-01-04,Premium,
087a7492-6680-49d1-88d6-8675c63814f8,Aaron Morales,gstephenson@house.com,841.802.5345x89534,2024-06-20,Premium,55.86
f7c6cba2-d928-4e7b-8c97-7668426a4138,Erin Rodriguez,barnettsonya@lang.com,+1-780-833-2088x8653,2023-08-31,Basic,
20b13079-81e9-4930-8a06-80650273ca14,Brianna Lucas,heather01@hardy.com,(087)777-9246,2023-07-25,Gold,
e0ea9824-e6fb-4c13-b8ad-fb31e6a85b70,Lisa Gates,tiffanyduncan@wallace.org,4315616779,2024-11-07,,
d96d51b6-4792-45dd-9831-280df1f4dea8,William Vega,ywall@hotmail.com,9865221854,2023-06-10,Basic,13.18
b3fea425-79eb-4dfa-8a01-eb39b748f60d,Benjamin Clark,arodriguez@hotmail.com,+1-110-239-7724x44949,2024-05-23,Premium,
4e985e49-778c-4185-88a7-cfe99b76b756,Sherri Jenkins,ylopez@wagner.com,496.388.3404x821,2023-10-31,Premium,118.5
3bbf6d8d-613f-42a1-89da-a49dbae19cfa,Benjamin Harris,kayla47@yahoo.com,+1-765-010-8892,2023-05-28,Gold,
e7e938b3-7907-4778-a9b5-ed38fc177396,Carlos Walker,brandi20@santiago-alexander.info,001-358-788-4540x4947,2025-04-18,Premium,309.49
0a656e54-9bcb-435b-ab3d-1aae656a0325,Zachary Nichols,utorres@robertson.com,854.330.3436x5081,2023-10-30,Basic,347.78
b2ecf214-e486-42f4-b0b2-c34b3787f2e9,Ebony Johnson,dustinhoffman@ellison.com,(032)199-9820,2024-11-26,Basic,464.15
c6bcee25-35ff-4c4d-80d3-3c02dacdd663,Lisa Allen,timothy03@sanders-morgan.info,(422)898-4550x5630,2024-09-16,Basic,
c26ceb17-8ddc-4dc9-9f4d-3ae3e109205c,,tiffanydiaz@barker.com,001-859-920-3079x7518,2023-05-22,Gold,426.46
cc16d450-ff91-4d0a-beea-f9b83f3f73dc,Jonathan Johnson,guzmanmeagan@yahoo.com,001-080-847-4015,2025-01-06,Premium,183.02
b655776d-49b1-4514-8108-e71ad895960b,Erica Thomas,cochrandana@gmail.com,(229)610-3539x28298,2024-01-28,,81.96
ebdb7989-f765-47fe-9d83-4b53fc7dd29f,,,522.514.9419,2025-03-14,Premium,
784b523d-ac3b-4a21-bd4a-0a38a5d5bc57,April Swanson,abigail91@roberts.com,720-341-9106,2024-06-25,,
4372d5cf-3bf5-4faf-aac0-28f88eeb0373,Kim Rivera,sriggs@hotmail.com,(369)722-1119,2023-11-14,Basic,231.13
68dfce0a-d741-45dd-8586-c6b9f71d98f1,Kristi Drake,brownjohn@yahoo.com,+1-172-715-3223x7606,2024-11-20,Premium,346.38
b98da63e-6549-474f-8d88-ef06f724c10a,Kylie Hernandez,pmanning@yahoo.com,431-069-2772x1228,2023-10-12,Basic,221.12
7291b7de-9b67-465e-89e8-46a9fadc587a,Paul Young,amandajackson@yahoo.com,001-376-068-4829x886,2024-10-26,,
642e49e2-d0cd-4907-a359-378d783fcdc9,Sierra Li,edward52@hotmail.com,266.198.1947x3491,2024-09-17,Premium,369.34
2de40e3e-c1c6-450a-8ad9-727878177239,Carlos Burgess,juliemorris@allen.com,925-814-5667,2025-01-16,Premium,164.29
